Util,CLK,tag,MIVs
0.6,0.5,placement_icc2_hop_included_timing_none_partitionminmiv,2910
0.6,0.5,placement_icc2_hop_included_timing_none_partitionmiddle,2861
0.6,0.6,placement_icc2_hop_included_timing_none_partitionminmiv,2840
0.6,0.6,placement_icc2_hop_included_timing_none_partitionmiddle,3770
0.6,0.6,placement_icc2_hop_included_timing_included_partitionmiddle,4766
0.6,0.6,placement_icc2_hop_included_timing_included_partitionminmiv,2886
0.6,0.7,placement_icc2_hop_included_timing_none_partitionmiddle,4293
0.6,0.7,placement_icc2_hop_included_timing_included_partitionminmiv,3159
0.6,0.7,placement_icc2_hop_included_timing_included_partitionmiddle,5057
0.6,0.7,placement_icc2_hop_included_timing_none_partitionminmiv,2748
0.6,0.8,placement_icc2_hop_included_timing_none_partitionminmiv,2294
0.6,0.8,placement_icc2_hop_included_timing_none_partitionmiddle,2294
0.6,0.8,placement_icc2_hop_included_timing_included_partitionminmiv,2758
0.6,0.8,placement_icc2_hop_included_timing_included_partitionmiddle,4577
0.6,0.9,placement_icc2_hop_included_timing_included_partitionmiddle,3025
0.6,0.9,placement_icc2_hop_included_timing_included_partitionminmiv,2191
0.6,0.9,placement_icc2_hop_included_timing_none_partitionmiddle,2085
0.6,0.9,placement_icc2_hop_included_timing_none_partitionminmiv,2085
0.6,1.0,placement_icc2_hop_included_timing_none_partitionmiddle,2836
0.6,1.0,placement_icc2_hop_included_timing_included_partitionminmiv,2244
0.6,1.0,placement_icc2_hop_included_timing_included_partitionmiddle,2406
0.6,1.0,placement_icc2_hop_included_timing_none_partitionminmiv,2293
0.6,1.1,placement_icc2_hop_included_timing_none_partitionminmiv,2556
0.6,1.1,placement_icc2_hop_included_timing_included_partitionminmiv,3257
0.6,1.1,placement_icc2_hop_included_timing_none_partitionmiddle,2738
0.6,1.1,placement_icc2_hop_included_timing_included_partitionmiddle,3257
0.7,0.2,placement_icc2_hop_included_timing_none_partitionmiddle,4303
0.7,0.2,placement_icc2_hop_included_timing_included_partitionmiddle,2859
0.7,0.2,placement_icc2_hop_included_timing_included_partitionminmiv,2859
0.7,0.2,placement_icc2_hop_included_timing_none_partitionminmiv,3738
0.7,0.3,placement_icc2_hop_included_timing_included_partitionminmiv,2719
0.7,0.3,placement_icc2_hop_included_timing_none_partitionminmiv,2989
0.7,0.3,placement_icc2_hop_included_timing_none_partitionmiddle,5129
0.7,0.3,placement_icc2_hop_included_timing_included_partitionmiddle,2045
0.7,0.4,placement_icc2_hop_included_timing_none_partitionmiddle,3279
0.7,0.4,placement_icc2_hop_included_timing_included_partitionminmiv,2777
0.7,0.4,placement_icc2_hop_included_timing_none_partitionminmiv,3115
0.7,0.4,placement_icc2_hop_included_timing_included_partitionmiddle,2777
0.7,0.5,placement_icc2_hop_included_timing_included_partitionmiddle,2870
0.7,0.5,placement_icc2_hop_included_timing_none_partitionmiddle,4400
0.7,0.5,placement_icc2_hop_included_timing_none_partitionminmiv,2802
0.7,0.5,placement_icc2_hop_included_timing_included_partitionminmiv,2870
0.7,0.6,placement_icc2_hop_included_timing_included_partitionmiddle,3595
0.7,0.6,placement_icc2_hop_included_timing_included_partitionminmiv,2828
0.7,0.6,placement_icc2_hop_included_timing_none_partitionminmiv,3153
0.7,0.6,placement_icc2_hop_included_timing_none_partitionmiddle,3153
0.7,0.7,placement_icc2_hop_included_timing_included_partitionmiddle,2323
0.7,0.7,placement_icc2_hop_included_timing_included_partitionminmiv,2252
0.7,0.7,placement_icc2_hop_included_timing_none_partitionmiddle,3797
0.7,0.7,placement_icc2_hop_included_timing_none_partitionminmiv,2678
0.7,0.8,placement_icc2_hop_included_timing_none_partitionminmiv,2625
0.7,0.8,placement_icc2_hop_included_timing_none_partitionmiddle,4177
0.7,0.8,placement_icc2_hop_included_timing_included_partitionminmiv,2659
0.7,0.8,placement_icc2_hop_included_timing_included_partitionmiddle,4266
0.7,0.9,placement_icc2_hop_included_timing_none_partitionminmiv,2982
0.7,0.9,placement_icc2_hop_included_timing_included_partitionmiddle,3716
0.7,0.9,placement_icc2_hop_included_timing_included_partitionminmiv,2823
0.7,0.9,placement_icc2_hop_included_timing_none_partitionmiddle,3653
0.7,1.0,placement_icc2_hop_included_timing_none_partitionmiddle,3692
0.7,1.0,placement_icc2_hop_included_timing_included_partitionminmiv,2225
0.7,1.0,placement_icc2_hop_included_timing_none_partitionminmiv,2803
0.7,1.0,placement_icc2_hop_included_timing_included_partitionmiddle,3993
0.7,1.1,placement_icc2_hop_included_timing_none_partitionminmiv,2669
0.7,1.1,placement_icc2_hop_included_timing_included_partitionmiddle,3301
0.7,1.1,placement_icc2_hop_included_timing_included_partitionminmiv,2508
0.7,1.1,placement_icc2_hop_included_timing_none_partitionmiddle,3421
